"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ethereum","ETH","Ethereum",2017-09-17,2,245.85,257,235.24,251.75,427452000,23272527872,0.7587,21.76
"ethereum","ETH","Ethereum",2017-09-18,2,252.23,293.5,252.23,293.5,1127750016,23881156608,1,41.27
"ethereum","ETH","Ethereum",2017-09-19,2,293.66,295.77,274.48,282.8,646908992,27809294336,0.3908,21.29
"ethereum","ETH","Ethereum",2017-09-20,2,282.02,290.89,278.05,283.74,421404000,26712387584,0.4431,12.84
"ethereum","ETH","Ethereum",2017-09-21,2,283.26,286.61,255.02,258.58,601265984,26835992576,0.1127,31.59
"ethereum","ETH","Ethereum",2017-09-22,2,258.11,270.54,256.22,264.31,430080992,24458373120,0.5649,14.32
"ethereum","ETH","Ethereum",2017-09-23,2,264.6,286.17,261.12,286.17,450934016,25077055488,1,25.05
"ethereum","ETH","Ethereum",2017-09-24,2,286.21,292.95,278.13,282.48,571411008,27129874432,0.2935,14.82
"ethereum","ETH","Ethereum",2017-09-25,2,282.22,293.52,281.88,292.33,483160992,26755461120,0.8978,11.64
"ethereum","ETH","Ethereum",2017-09-26,2,292.35,293.75,287.02,287.44,345800992,27719983104,0.0624,6.73
"ethereum","ETH","Ethereum",2017-09-27,2,287.02,308.02,286.82,306.47,550243968,27219355648,0.9269,21.2
"ethereum","ETH","Ethereum",2017-09-28,2,306.47,307.2,295.47,299.15,501894016,29068738560,0.3137,11.73
"ethereum","ETH","Ethereum",2017-09-29,2,299.12,299.92,279.77,291.47,541374976,28375930880,0.5806,20.15
"ethereum","ETH","Ethereum",2017-09-30,2,291.48,303.96,291.11,301.46,332439008,27655217152,0.8054,12.85
"ethereum","ETH","Ethereum",2017-10-01,2,301.55,303.19,295.06,302.34,306184992,28615151616,0.8954,8.13
"ethereum","ETH","Ethereum",2017-10-02,2,302.48,302.92,294.58,297.48,339443008,28708456448,0.3477,8.34
"ethereum","ETH","Ethereum",2017-10-03,2,297.48,300.11,288.13,292.46,321680000,28238487552,0.3614,11.98
"ethereum","ETH","Ethereum",2017-10-04,2,292.75,299.39,290.89,292.66,257906000,27794059264,0.2082,8.5
"ethereum","ETH","Ethereum",2017-10-05,2,292.77,298.04,288.84,295.86,253747008,27800369152,0.763,9.2
