"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ripple","XRP","XRP",2017-08-21,3,0.15841,0.205684,0.154856,0.191918,447088992,6074040832,0.7292,0.05
"ripple","XRP","XRP",2017-08-22,3,0.194971,0.254659,0.171483,0.239286,1450040064,7475950080,0.8152,0.08
"ripple","XRP","XRP",2017-08-23,3,0.240987,0.297662,0.219992,0.246827,1770400000,9240378368,0.3455,0.08
"ripple","XRP","XRP",2017-08-24,3,0.252371,0.288783,0.212543,0.218958,1342360064,9676887040,0.0841,0.08
"ripple","XRP","XRP",2017-08-25,3,0.2172,0.232184,0.203022,0.217828,504484000,8328297984,0.5077,0.03
"ripple","XRP","XRP",2017-08-26,3,0.218256,0.229086,0.210324,0.212577,184120992,8368786944,0.1201,0.02
"ripple","XRP","XRP",2017-08-27,3,0.212617,0.212617,0.197717,0.202995,193971008,8152544256,0.3542,0.01
"ripple","XRP","XRP",2017-08-28,3,0.203425,0.23626,0.19661,0.224508,542467968,7800086016,0.7036,0.04
"ripple","XRP","XRP",2017-08-29,3,0.224026,0.225926,0.214867,0.218564,269769984,8590002176,0.3343,0.01
"ripple","XRP","XRP",2017-08-30,3,0.218871,0.229805,0.217476,0.228006,181186000,8392339456,0.8541,0.01
"ripple","XRP","XRP",2017-08-31,3,0.227558,0.261038,0.225907,0.25563,432574016,8725450752,0.8461,0.04
"ripple","XRP","XRP",2017-09-01,3,0.255803,0.256162,0.243833,0.248479,283576000,9808464896,0.3768,0.01
"ripple","XRP","XRP",2017-09-02,3,0.249348,0.24968,0.217774,0.226669,329928000,9560943616,0.2788,0.03
"ripple","XRP","XRP",2017-09-03,3,0.227229,0.236443,0.218662,0.228811,186526000,8712838144,0.5708,0.02
"ripple","XRP","XRP",2017-09-04,3,0.228781,0.228781,0.19596,0.204968,239612992,8772335616,0.2745,0.03
"ripple","XRP","XRP",2017-09-05,3,0.20511,0.218674,0.190232,0.215189,242636000,7864701952,0.8775,0.03
"ripple","XRP","XRP",2017-09-06,3,0.214951,0.22686,0.214805,0.226186,163296992,8242062848,0.9441,0.01
"ripple","XRP","XRP",2017-09-07,3,0.226382,0.22721,0.219618,0.22364,103080000,8680355840,0.5298,0.01
"ripple","XRP","XRP",2017-09-08,3,0.223615,0.224308,0.206103,0.211518,151328992,8574258176,0.2974,0.02
"ripple","XRP","XRP",2017-09-09,3,0.211293,0.211892,0.206395,0.209995,51185500,8101801472,0.6549,0.01
"ripple","XRP","XRP",2017-09-10,3,0.209606,0.216529,0.197605,0.213031,117091000,8037081088,0.8152,0.02
"ripple","XRP","XRP",2017-09-11,3,0.212513,0.220057,0.210353,0.214441,138339008,8148559360,0.4213,0.01
"ripple","XRP","XRP",2017-09-12,3,0.21486,0.220623,0.207608,0.209303,94519504,8238545920,0.1302,0.01
"ripple","XRP","XRP",2017-09-13,3,0.20963,0.209674,0.196179,0.200778,105471000,8038030848,0.3408,0.01
"ripple","XRP","XRP",2017-09-14,3,0.200427,0.20201,0.164167,0.164167,152532992,7685140480,0,0.04
"ripple","XRP","XRP",2017-09-15,3,0.165035,0.189184,0.150973,0.181358,289414016,6328091648,0.7952,0.04
"ripple","XRP","XRP",2017-09-16,3,0.181925,0.187417,0.172279,0.179082,84495200,6975691776,0.4494,0.02
"ripple","XRP","XRP",2017-09-17,3,0.178377,0.181121,0.171017,0.178393,49161100,6839643136,0.73,0.01
"ripple","XRP","XRP",2017-09-18,3,0.178309,0.190019,0.178309,0.189768,88397904,6837059072,0.9786,0.01
"ripple","XRP","XRP",2017-09-19,3,0.189819,0.19068,0.181334,0.184041,54046100,7278391296,0.2896,0.01
"ripple","XRP","XRP",2017-09-20,3,0.18371,0.186229,0.180333,0.182078,34521600,7044157952,0.296,0.01
