"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bitcoin","BTC","Bitcoin",2017-08-05,1,2897.63,3290.01,2874.83,3252.91,1945699968,47778197504,0.9106,415.18
"bitcoin","BTC","Bitcoin",2017-08-06,1,3257.61,3293.29,3155.6,3213.94,1105030016,53720891392,0.4237,137.69
"bitcoin","BTC","Bitcoin",2017-08-07,1,3212.78,3397.68,3180.89,3378.94,1482279936,52987310080,0.9136,216.79
"bitcoin","BTC","Bitcoin",2017-08-08,1,3370.22,3484.85,3345.83,3419.94,1752760064,55590281216,0.5331,139.02
"bitcoin","BTC","Bitcoin",2017-08-09,1,3420.4,3422.76,3247.67,3342.47,1468960000,56424906752,0.5414,175.09
"bitcoin","BTC","Bitcoin",2017-08-10,1,3341.84,3453.45,3319.47,3381.28,1515110016,55134724096,0.4613,133.98
"bitcoin","BTC","Bitcoin",2017-08-11,1,3373.82,3679.72,3372.12,3650.62,2021190016,55667986432,0.9054,307.6
"bitcoin","BTC","Bitcoin",2017-08-12,1,3650.63,3949.92,3613.7,3884.71,2219589888,60242059264,0.806,336.22
"bitcoin","BTC","Bitcoin",2017-08-13,1,3880.04,4208.39,3857.8,4073.26,3159089920,64034107392,0.6146,350.59
"bitcoin","BTC","Bitcoin",2017-08-14,1,4066.1,4325.13,3989.16,4325.13,2463089920,67112329216,1,335.97
"bitcoin","BTC","Bitcoin",2017-08-15,1,4326.99,4455.97,3906.18,4181.93,3258050048,71425482752,0.5016,549.79
"bitcoin","BTC","Bitcoin",2017-08-16,1,4200.34,4381.23,3994.42,4376.63,2272039936,69342707712,0.9881,386.81
"bitcoin","BTC","Bitcoin",2017-08-17,1,4384.44,4484.7,4243.71,4331.69,2553359872,72389124096,0.3651,240.99
"bitcoin","BTC","Bitcoin",2017-08-18,1,4324.34,4370.13,4015.4,4160.62,2941710080,71406542848,0.4094,354.73
"bitcoin","BTC","Bitcoin",2017-08-19,1,4137.75,4243.26,3970.55,4193.7,2975820032,68333101056,0.8183,272.71
"bitcoin","BTC","Bitcoin",2017-08-20,1,4189.31,4196.29,4069.88,4087.66,2109769984,69192663040,0.1407,126.41
"bitcoin","BTC","Bitcoin",2017-08-21,1,4090.48,4109.14,3988.6,4001.74,2800890112,67567071232,0.109,120.54
"bitcoin","BTC","Bitcoin",2017-08-22,1,3998.35,4128.76,3674.58,4100.52,3764239872,66051018752,0.9378,454.18
"bitcoin","BTC","Bitcoin",2017-08-23,1,4089.01,4255.78,4078.41,4151.52,2369819904,67553030144,0.4122,177.37
"bitcoin","BTC","Bitcoin",2017-08-24,1,4137.6,4376.39,4130.26,4334.68,2037750016,68363894784,0.8305,246.13
"bitcoin","BTC","Bitcoin",2017-08-25,1,4332.82,4455.7,4307.35,4371.6,1727970048,71595073536,0.4331,148.35
"bitcoin","BTC","Bitcoin",2017-08-26,1,4372.06,4379.28,4269.52,4352.4,1511609984,72249057280,0.7551,109.76
"bitcoin","BTC","Bitcoin",2017-08-27,1,4345.1,4416.59,4317.29,4382.88,1537459968,71809245184,0.6605,99.3
"bitcoin","BTC","Bitcoin",2017-08-28,1,4384.45,4403.93,4224.64,4382.66,1959330048,72467865600,0.8814,179.29
"bitcoin","BTC","Bitcoin",2017-08-29,1,4389.21,4625.68,4352.13,4579.02,2486080000,72553783296,0.8294,273.55
"bitcoin","BTC","Bitcoin",2017-08-30,1,4570.36,4626.52,4471.41,4565.3,1937849984,75556601856,0.6053,155.11
"bitcoin","BTC","Bitcoin",2017-08-31,1,4555.59,4736.05,4549.4,4703.39,1944930048,75322261504,0.825,186.65
"bitcoin","BTC","Bitcoin",2017-09-01,1,4701.76,4892.01,4678.53,4892.01,2599079936,77748371456,1,213.48
"bitcoin","BTC","Bitcoin",2017-09-02,1,4901.42,4975.04,4469.24,4578.77,2722139904,81060601856,0.2165,505.8
"bitcoin","BTC","Bitcoin",2017-09-03,1,4585.27,4714.08,4417.59,4582.96,1933190016,75841708032,0.5578,296.49
"bitcoin","BTC","Bitcoin",2017-09-04,1,4591.63,4591.63,4108.4,4236.31,2987330048,75955544064,0.2647,483.23
